RAW COUNTS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,Total
Sample_A0_highconc_rep1,0,370,1415,1110,33,2302,50,430,50,359,118,63,205,1,570,471,0,13,300,0,1487,110,1,172,343,853,795,225,180,930,320,1830,0,1300,539,1127,664,792,0,2472,321,2134,832,0,30,233,1541,0,273,0,2283,4730,1474,0,84,1578,2202,674,214,753,222,2023,696,5,0,0,97,391,1283,137,35,1070,683,17,145,191,1161,0,81,578,257,0,235,1023,0,17,118,3164,177,817,5,1396,1496,489,163,698,74,0,60300
Sample_A0_highconc_rep2,0,1024,3258,1255,115,3627,101,1514,0,302,557,593,561,492,1609,3,0,34,363,273,2000,1460,26,196,1165,167,1966,493,1047,1814,937,2955,0,994,408,755,715,660,144,291,387,907,1608,1,209,736,1985,3219,2275,0,1639,6159,1840,88,0,478,4649,438,1322,460,455,3476,1016,13,0,0,275,2007,1734,668,54,1454,1371,6,346,1,4714,643,0,824,629,0,745,2629,0,0,311,4760,3,2177,4,1822,1745,324,0,714,266,0,97460
Sample_A0_lowconc_rep1,0,0,0,0,0,554,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,426,0,0,0,239,0,0,0,0,0,0,29,0,0,0,30,0,0,0,0,57,0,0,0,0,152,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,2223
Sample_A0_lowconc_rep2,0,0,0,63,8,0,0,0,0,0,45,0,51,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,21,0,0,0,80,0,0,0,0,57,0,0,0,0,0,0,0,43,0,76,0,0,22,0,0,88,91,0,0,0,59,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,745
Sample_A100_highconc_rep1,0,517,882,1596,37,503,66,627,123,0,371,0,0,1,353,1562,0,6,0,183,398,121,0,3,830,403,636,278,383,1117,430,1932,0,0,440,1139,622,0,535,2070,676,0,2501,1,0,493,63,3001,1520,0,1036,6110,17,126,0,0,3554,1067,0,754,1014,3412,353,9,0,0,391,480,1112,415,58,755,888,0,491,570,746,96,600,225,244,0,303,1271,164,0,349,5583,0,397,0,654,1923,312,0,707,0,0,62605
Sample_A100_highconc_rep2,0,86,0,77,0,437,7,48,40,42,0,63,41,1,42,166,0,1,0,1,27,0,0,43,116,72,178,89,24,0,82,153,0,0,72,4,239,106,2,278,61,265,0,203,0,149,51,33,107,0,354,394,314,36,5,144,716,117,68,0,0,204,69,1,0,0,6,13,27,24,1,35,33,0,74,4,141,0,29,0,24,0,35,52,0,1,21,482,135,50,1,177,173,0,0,95,0,0,7461
Sample_A100_lowconc_rep1,0,0,0,254,0,0,0,99,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,28,0,0,0,0,0,0,0,407,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,113,0,0,0,0,0,94,0,0,0,0,0,0,0,0,185,0,10,0,200,0,0,0,0,0,0,0,0,0,0,1470
Sample_A100_lowconc_rep2,0,0,0,0,0,382,0,0,0,0,0,0,121,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,1680
Sample_A10_highconc_rep1,0,5110,6947,6531,777,6669,1,2104,590,1936,3081,546,904,252,1623,1195,0,22,2393,715,1,1698,55,1333,2027,3529,3787,1581,1345,3393,1315,3395,0,4207,2449,4055,3376,3008,1591,5414,3621,8903,6321,1,850,11,4832,2133,1173,0,9727,13291,4700,1556,484,4873,10713,4457,2571,1407,1373,6314,2912,39,0,0,252,2944,2780,970,99,5092,1870,27,1073,1,7437,682,1466,1562,1205,0,2548,5697,167,469,1930,6416,2,5282,59,3572,5476,1591,205,5350,1021,0,248462
Sample_A10_highconc_rep2,0,13432,12482,5846,531,5130,646,1279,456,1923,2635,440,1342,18,2055,757,0,45,2452,594,3,1372,27,1146,3028,2720,5428,1613,2209,3312,1304,4777,0,5451,2035,2978,5257,4160,1111,7231,2877,7342,4063,9507,1,10,5884,2456,2094,0,11249,10562,11330,1525,303,4549,13408,5796,3097,2818,2931,10228,2709,23,0,0,138,1288,2771,332,246,5862,1540,31,1343,747,5035,1837,2280,2214,1119,0,3012,6418,386,543,1465,7370,6,5505,39,3546,10536,1705,238,4686,648,0,294873
Sample_A10_lowconc_rep1,0,374,0,0,25,282,0,0,12,162,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,112,0,0,278,0,0,116,0,0,293,237,0,244,0,482,0,39,0,0,392,183,594,317,200,264,12,0,0,35,0,0,147,0,0,51,0,0,0,0,0,447,0,0,0,0,273,0,0,0,0,0,0,0,11,0,0,0,0,68,0,5982
Sample_A10_lowconc_rep2,0,0,0,270,0,131,0,0,0,74,214,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,114,0,0,0,0,48,280,0,0,0,0,110,0,0,0,0,402,96,0,27,149,608,0,125,0,0,152,0,0,0,0,10,0,150,0,0,0,0,0,0,9,0,0,87,0,0,0,163,0,0,0,0,0,67,114,0,26,310,0,0,0,0,0,3897
