amplicon_number hyperparameter	
1	0.021936626
2	0.004041589
3	0.00249536
4	0.003244154
5	0.002708477
6	0.006917762
7	0.005246225
8	0.040560391
9	0.0167279
10	0.010154952
11	0.00425434
12	0.003963148
13	0.007480928
14	0.001990886
15	0.005775965
16	0.006224034
17	0.004093394
18	0.004422645
19	0.007163318
20	0.002004882
21	0.004115084
22	0.002738348
23	0.001532463
24	0.001285334
25	0.009036809
26	0.0047689
27	0.007486186
28	0.003737297
29	0.001228593
30	0.006242002
31	0.002475187
32	0.005575682
33	0.009676423
34	0.000817643
35	0.000640863
36	0.16640125
37	0.029447143
38	0.002541137
39	0.008748437
40	0.00919362
41	0.002452344
42	0.001090575
43	0.04225671
44	0.015153714
45	0.03195598
46	0.018472329
47	0.003522895
48	0.0031837
49	0.000364879
50	0.004355328
51	0.002156994
52	0.004349147
53	0.042322913
54	0.014556663
55	0.001799946
56	0.003542273
57	0.006677284
58	0.015197739
59	0.003439376
60	0.002762862
61	0.001060642
62	0.005506107
63	0.006112082
64	0.003077462
65	0.009308866
66	0.006516011
67	0.004933978
68	0.025349702
69	0.000793581
70	0.004288196
71	0.005197835
72	0.003973246
73	0.007831285
74	0.008626169
75	0.00426864
76	0.007333262
77	0.003914615
78	0.004106676
79	0.004234632
80	0.005224289
81	0.004108962
82	0.002950399
83	0.015556785
84	0.00520631
85	0.007060448
86	0.001702604
87	0.011444513
88	0.00309771
89	0.031447263
90	0.001990225
91	0.085991705
92	0.000612339
93	0.005166789
94	0.008187816
95	0.003015122
96	0.008154056
97	0.010909292
98	0.006664163
99	0.00636719
